task_request_time,worker,model,inference_start_time,inference_end_time,inference_time,success,error_msg,failure_time
2025-10-10 14:20:29.575,hailo2,resnet50,2025-10-10 14:20:29.594,2025-10-10 14:20:29.618,0.024,True,,
2025-10-10 14:20:29.576,hailo1,resnet50,2025-10-10 14:20:29.595,2025-10-10 14:20:29.641,0.0457,True,,
2025-10-10 14:20:29.614,hailo2,resnet50,2025-10-10 14:20:29.628,2025-10-10 14:20:29.653,0.0242,True,,
2025-10-10 14:20:29.648,hailo2,resnet50,2025-10-10 14:20:29.663,2025-10-10 14:20:29.687,0.024,True,,
2025-10-10 14:20:29.641,hailo1,resnet50,2025-10-10 14:20:29.652,2025-10-10 14:20:29.698,0.0458,True,,
2025-10-10 14:20:29.683,hailo2,resnet50,2025-10-10 14:20:29.696,2025-10-10 14:20:29.721,0.0241,True,,
2025-10-10 14:20:29.716,hailo2,resnet50,2025-10-10 14:20:29.730,2025-10-10 14:20:29.754,0.024,True,,
2025-10-10 14:20:29.698,hailo1,resnet50,2025-10-10 14:20:29.708,2025-10-10 14:20:29.753,0.0457,True,,
2025-10-10 14:20:29.749,hailo2,resnet50,2025-10-10 14:20:29.764,2025-10-10 14:20:29.788,0.024,True,,
2025-10-10 14:20:29.754,hailo1,resnet50,2025-10-10 14:20:29.765,2025-10-10 14:20:29.811,0.0456,True,,
2025-10-10 14:20:29.784,hailo2,resnet50,2025-10-10 14:20:29.797,2025-10-10 14:20:29.822,0.0241,True,,
2025-10-10 14:20:29.817,hailo2,resnet50,2025-10-10 14:20:29.831,2025-10-10 14:20:29.855,0.024,True,,
2025-10-10 14:20:29.811,hailo1,resnet50,2025-10-10 14:20:29.821,2025-10-10 14:20:29.867,0.0456,True,,
2025-10-10 14:20:29.851,hailo2,resnet50,2025-10-10 14:20:29.865,2025-10-10 14:20:29.889,0.0242,True,,
2025-10-10 14:20:29.884,hailo2,resnet50,2025-10-10 14:20:29.898,2025-10-10 14:20:29.922,0.0241,True,,
2025-10-10 14:20:29.867,hailo1,resnet50,2025-10-10 14:20:29.877,2025-10-10 14:20:29.922,0.0457,True,,
2025-10-10 14:20:29.918,hailo2,resnet50,2025-10-10 14:20:29.933,2025-10-10 14:20:29.957,0.024,True,,
2025-10-10 14:20:29.922,hailo1,resnet50,2025-10-10 14:20:29.932,2025-10-10 14:20:29.978,0.0457,True,,
2025-10-10 14:20:29.952,hailo2,resnet50,2025-10-10 14:20:29.968,2025-10-10 14:20:29.992,0.024,True,,
2025-10-10 14:20:29.987,hailo2,resnet50,2025-10-10 14:20:30.002,2025-10-10 14:20:30.026,0.024,True,,
2025-10-10 14:20:29.978,hailo1,resnet50,2025-10-10 14:20:29.988,2025-10-10 14:20:30.033,0.0457,True,,
2025-10-10 14:20:30.021,hailo2,resnet50,2025-10-10 14:20:30.037,2025-10-10 14:20:30.061,0.0242,True,,
2025-10-10 14:20:30.033,hailo1,resnet50,2025-10-10 14:20:30.042,2025-10-10 14:20:30.088,0.0457,True,,
2025-10-10 14:20:30.057,hailo2,resnet50,2025-10-10 14:20:30.072,2025-10-10 14:20:30.096,0.024,True,,
2025-10-10 14:20:30.093,hailo2,resnet50,2025-10-10 14:20:30.109,2025-10-10 14:20:30.133,0.0241,True,,
2025-10-10 14:20:30.088,hailo1,resnet50,2025-10-10 14:20:30.101,2025-10-10 14:20:30.147,0.0456,True,,
2025-10-10 14:20:30.128,hailo2,resnet50,2025-10-10 14:20:30.143,2025-10-10 14:20:30.167,0.024,True,,
2025-10-10 14:20:30.162,hailo2,resnet50,2025-10-10 14:20:30.177,2025-10-10 14:20:30.201,0.0241,True,,
2025-10-10 14:20:30.146,hailo1,resnet50,2025-10-10 14:20:30.157,2025-10-10 14:20:30.203,0.0456,True,,
2025-10-10 14:20:30.197,hailo2,resnet50,2025-10-10 14:20:30.213,2025-10-10 14:20:30.237,0.0241,True,,
2025-10-10 14:20:30.203,hailo1,resnet50,2025-10-10 14:20:30.214,2025-10-10 14:20:30.259,0.0457,True,,
2025-10-10 14:20:30.233,hailo2,resnet50,2025-10-10 14:20:30.248,2025-10-10 14:20:30.272,0.0241,True,,
2025-10-10 14:20:30.267,hailo2,resnet50,2025-10-10 14:20:30.283,2025-10-10 14:20:30.307,0.0241,True,,
2025-10-10 14:20:30.259,hailo1,resnet50,2025-10-10 14:20:30.270,2025-10-10 14:20:30.316,0.0456,True,,
2025-10-10 14:20:30.303,hailo2,resnet50,2025-10-10 14:20:30.319,2025-10-10 14:20:30.343,0.0241,True,,
2025-10-10 14:20:30.315,hailo1,resnet50,2025-10-10 14:20:30.325,2025-10-10 14:20:30.371,0.0456,True,,
2025-10-10 14:20:30.339,hailo2,resnet50,2025-10-10 14:20:30.353,2025-10-10 14:20:30.377,0.0243,True,,
2025-10-10 14:20:30.375,hailo2,resnet50,2025-10-10 14:20:30.390,2025-10-10 14:20:30.414,0.0241,True,,
2025-10-10 14:20:30.371,hailo1,resnet50,2025-10-10 14:20:30.384,2025-10-10 14:20:30.429,0.0457,True,,
2025-10-10 14:20:30.410,hailo2,resnet50,2025-10-10 14:20:30.425,2025-10-10 14:20:30.449,0.0241,True,,
2025-10-10 14:20:30.444,hailo2,resnet50,2025-10-10 14:20:30.459,2025-10-10 14:20:30.483,0.0241,True,,
2025-10-10 14:20:30.429,hailo1,resnet50,2025-10-10 14:20:30.440,2025-10-10 14:20:30.486,0.0457,True,,
2025-10-10 14:20:30.479,hailo2,resnet50,2025-10-10 14:20:30.494,2025-10-10 14:20:30.518,0.0242,True,,
2025-10-10 14:20:30.485,hailo1,resnet50,2025-10-10 14:20:30.496,2025-10-10 14:20:30.542,0.0457,True,,
2025-10-10 14:20:30.514,hailo2,resnet50,2025-10-10 14:20:30.529,2025-10-10 14:20:30.553,0.0241,True,,
2025-10-10 14:20:30.548,hailo2,resnet50,2025-10-10 14:20:30.563,2025-10-10 14:20:30.587,0.024,True,,
2025-10-10 14:20:30.541,hailo1,resnet50,2025-10-10 14:20:30.552,2025-10-10 14:20:30.598,0.0457,True,,
2025-10-10 14:20:30.583,hailo2,resnet50,2025-10-10 14:20:30.598,2025-10-10 14:20:30.622,0.024,True,,
2025-10-10 14:20:30.618,hailo2,resnet50,2025-10-10 14:20:30.633,2025-10-10 14:20:30.657,0.024,True,,
2025-10-10 14:20:30.597,hailo1,resnet50,2025-10-10 14:20:30.608,2025-10-10 14:20:30.654,0.0456,True,,
